"1","Red Fish Blue Fish","831","4.5","1006 Wharf Street, Victoria, BC","48.4243428","-123.3702708"
"2","Nubo Japanese Tapas","220","4.5","739 Pandora Avenue, Victoria, BC","48.42769149999999","-123.3634928"
"3","Blue Fox Cafe","529","4.5","919 Fort Street, Victoria, BC","48.42373449999999","-123.3587076"
"4","Fishhook","166","4.5","805 Fort Street, Victoria, BC","48.4241523","-123.3621483"
"5","Little Jumbo","125","4.5","506 Fort Street, Victoria, BC","48.4251415","-123.3692927"
"6","Blighty’s Bistro","28","4.5","2006 Oak Bay Avenue, Victoria, BC","48.4265957","-123.3223188"
"7","Jam Cafe","370","4.5","542 Herald Street, Victoria, BC","48.4303785","-123.3677163"
"8","Il Terrazzo","323","4.5","555 Johnson St, Victoria, BC","48.4276448","-123.3687261"
"9","John’s Place","272","4.5","723 Pandora Avenue, Victoria, BC","48.4277786","-123.3637625"
"10","OLO Restaurant","106","4.5","509 Fisgard Street, Victoria, BC","48.429253","-123.369151"
"11","Bodega","62","4.5","1210 Broad Street, Victoria, BC","48.4259598","-123.3667139"
"12","Stage","26","4.5","1307 Gladstone Avenue, Victoria, BC","48.4303865","-123.3449193"
"13","Hanks A Restaurant","71","4.5","1001 Douglas Street, Victoria, BC","48.4239809","-123.3652309"
"14","Chicken 649","7","4","2224 Quadra Street, Victoria, BC","48.43378509999999","-123.3584141"
"15","Brasserie L’ecole","119","4.5","1715 Government Street, Victoria, BC","48.4298381","-123.3667454"
"16","Part and Parcel","27","4.5","2656 Quadra Street, Victoria, BC","48.4390886","-123.3593377"
"17","10 Acres Bistro + Bar","296","4","611 Courtney Street, Victoria, BC","48.423293","-123.367614"
"18","Ithaka Greek Restaurant","80","4.5","1102 Yates Street, Victoria, BC","48.4252247","-123.3531922"
"19","The Tartan Toque","23","4","1507 Pandora Avenue, Victoria, BC","48.4265467","-123.3398273"
"20","Bao","34","4.5","626 Fisgard Street, Victoria, BC","48.42950039999999","-123.365947"
